req_id,source_refs,category,requirement,module_screen,planned_phase,fleet_lane,test_type,acceptance_criteria,depends_on
NFR-01,"README.md:13-17",非機能,"WPF/.NET 10 で Windows 10+ で動作するデスクトップアプリを提供する","Installer + AppHost",Phase0-5,Fleet-Platform,"integration;ui;e2e","Windows 10 以降で起動できるインストーラーを提供し、アプリが正常起動する",""
NFR-02,"README.md:14,16",非機能,"SQLite ローカルDBでオフライン運用し、手動配布/手動更新を前提とする","SQLite Infrastructure + UpdateOps",Phase1-5,Fleet-Data,"unit;integration;e2e","ネットワーク未接続でも主要業務機能が利用でき、手動更新手順でアップデートできる","NFR-01"
NFR-03,"README.md:17",非機能,日本語UIのみで一貫した表示を行う,"Shell + Localization",Phase1,Fleet-UI,"ui;e2e","主要画面・ダイアログ・エラーメッセージが日本語で表示される","NFR-01"
NFR-04,"README.md:100-101",非機能,ライト/ダークテーマ切替を提供する,"Settings Screen",Phase5,Fleet-Ops,"unit;ui;e2e","テーマ変更後に全画面へ即時反映され、再起動後も選択が保持される","NFR-03"
NFR-05,"README.md:99,101",非機能,バックアップ先や会社情報など運用設定を管理可能にする,"Settings Screen",Phase5,Fleet-Ops,"integration;ui;e2e","設定値が保存され、次回起動時に復元される","NFR-02"
REQ-UC01,"README.md:23-28;use-cases.md:41-72",認証,"ユーザー名/パスワードでログインしダッシュボードへ遷移する","Login Screen / Auth Module",Phase1,Fleet-Auth,"unit;integration;ui;e2e","正しい資格情報でログイン成功し、ヘッダーにログインユーザー名が表示される","NFR-03"
REQ-UC02,"README.md:21-28;use-cases.md:75-97",認証,ログアウト確認後にログイン画面へ戻る,"Shell Header / Auth Module",Phase1,Fleet-Auth,"unit;ui;e2e","ログアウト確認ダイアログで「はい」を選ぶとログイン画面へ戻る","REQ-UC01"
REQ-UC03,"README.md:34-39,124;use-cases.md:100-129",ダッシュボード,"起動時ダッシュボードでサマリー/グラフ/在庫アラートを表示する","Dashboard Screen",Phase1,Fleet-UI,"integration;ui;e2e","未処理件数・今月金額・在庫アラート件数と月別グラフが表示される","REQ-UC01"
REQ-UC04,"README.md:42-50,126;use-cases.md:130-171",発注管理,"承認不要の発注を作成し自動採番・金額計算・保存を行う","Order Detail Screen / Order Core",Phase2,Fleet-OrderCore,"unit;integration;ui;e2e","PO連番が採番され、税抜/税込金額計算後に保存され一覧へ表示される","REQ-UC03"
REQ-UC05,"README.md:54-56;use-cases.md:172-203",承認,閾値超過発注は申請中で保存され承認依頼通知される,"Order Detail + Approval Module",Phase3,Fleet-Approval,"unit;integration;ui;e2e","閾値超過時に申請中で保存され、承認者へ承認依頼トースト通知が送信される","REQ-UC04;REQ-UC20"
REQ-UC06,"README.md:54-56,129;use-cases.md:204-236",承認,承認者が申請中発注を承認し処理中へ進める,"Approval Screen",Phase3,Fleet-Approval,"unit;integration;ui;e2e","承認操作後にステータスが承認済み→処理中へ更新され申請者へ通知される","REQ-UC05"
REQ-UC07,"README.md:55,115;use-cases.md:237-266",承認,承認者が却下理由付きで差し戻しできる,"Approval Screen",Phase3,Fleet-Approval,"unit;integration;ui;e2e","却下理由を必須入力して却下すると未処理へ戻り理由が履歴に残る","REQ-UC05"
REQ-UC08,"README.md:43,50,98;use-cases.md:267-299",発注管理,未処理/処理中の発注を編集して再計算・監査記録する,"Order Detail Screen / AuditLog",Phase2,Fleet-OrderCore,"unit;integration;ui;e2e","編集保存時に合計が再計算され、操作ログへ更新記録が追加される","REQ-UC04"
REQ-UC09,"README.md:49,111;use-cases.md:300-329",発注管理,発注キャンセル時は論理削除し既定一覧から除外する,"Order List Screen / Order Core",Phase2,Fleet-OrderCore,"unit;integration;ui;e2e","キャンセルで削除フラグが立ち、既定一覧では非表示だがフィルター表示できる","REQ-UC04"
